Memory_GB,Page_Size,Method,Mean_ms,StdDev_ms,P99_ms,Min_ms,Max_ms,PF_User,PF_Kernel,PF_Total,TLB_Total,TLB_RemoteShootdown,TLB_LocalShootdown,TLB_LocalMM,TLB_RemoteIPI,TLB_TaskSwitch
1,4KB,fork,0.547155,0.078115,0.792035,0.362439,0.792035,7.96,0.86,8.82,8.17,0.00,0.00,7.18,0.00,0.99
1,4KB,vfork,0.028501,0.008064,0.085546,0.023124,0.085546,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4KB,posix_spawn,0.129838,0.014907,0.233964,0.117984,0.233964,49.05,2.81,51.86,14.67,0.00,0.00,13.62,0.05,1.00
1,2MB,fork,0.603321,0.051753,0.787348,0.490534,0.787348,7.96,0.89,8.85,8.15,0.00,0.00,7.16,0.00,0.99
1,2MB,vfork,0.028139,0.005847,0.066010,0.022824,0.066010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2MB,posix_spawn,0.131908,0.020281,0.278494,0.119167,0.278494,49.01,2.84,51.85,14.65,0.00,0.00,13.64,0.01,1.00
2,4KB,fork,0.976640,0.123155,1.321691,0.741768,1.321691,7.96,0.96,8.92,8.26,0.00,0.00,7.27,0.00,0.99
2,4KB,vfork,0.028094,0.006447,0.076669,0.022750,0.076669,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,4KB,posix_spawn,0.130842,0.017777,0.253708,0.118819,0.253708,49.05,2.81,51.86,14.57,0.00,0.00,13.56,0.01,1.00
2,2MB,fork,1.088948,0.106739,1.306629,0.788949,1.306629,7.96,1.02,8.98,8.25,0.00,0.00,7.26,0.00,0.99
2,2MB,vfork,0.028859,0.006768,0.078306,0.022689,0.078306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,2MB,posix_spawn,0.130953,0.013078,0.228535,0.119846,0.228535,48.95,2.86,51.81,14.66,0.00,0.00,13.66,0.00,1.00
